round,t1,t2,t3,t4,offset,rtt,diff
1,1731093676.4484692,1731093676.6706283,1731093676.6707377,1731093677.2494235,-0.17826330661773682,0.8009543418884277,0.19997024536132812
2,1731093677.9789019,1731093677.979125,1731093677.9791884,1731093678.3794982,-0.20004332065582275,0.40059638023376465,7.867813110351562e-06
3,1731093679.5935862,1731093679.793788,1731093679.7939103,1731093679.9942038,-4.589557647705078e-05,0.4006175994873047,3.695487976074219e-05
4,1731093680.5604634,1731093680.7607121,1731093680.7607744,1731093680.961133,-5.4955482482910156e-05,0.40066957473754883,9.131431579589844e-05
5,1731093682.3562007,1731093682.5565376,1731093682.5565984,1731093682.7567558,8.976459503173828e-05,0.4005551338195801,6.127357482910156e-05
6,1731093683.4789233,1731093683.679294,1731093683.6793575,1731093683.879758,-1.4781951904296875e-05,0.4008345603942871,1.6450881958007812e-05
7,1731093684.739459,1731093684.939691,1731093684.939754,1731093685.140007,-1.049041748046875e-05,0.40054798126220703,2.7179718017578125e-05
8,1731093686.3369942,1731093686.5372376,1731093686.5372982,1731093686.7375267,7.510185241699219e-06,0.40053248405456543,1.9788742065429688e-05
9,1731093688.1502748,1731093688.3505902,1731093688.3506527,1731093688.5509632,2.5033950805664062e-06,0.40068840980529785,1.6927719116210938e-05
10,1731093689.590167,1731093689.7903943,1731093689.7904563,1731093689.9905808,5.137920379638672e-05,0.40041375160217285,3.695487976074219e-05
11,1731093690.598149,1731093690.7983282,1731093690.798389,1731093690.9986668,-4.935264587402344e-05,0.40051770210266113,1.5020370483398438e-05
12,1731093692.1789281,1731093692.3791916,1731093692.3792534,1731093692.5795412,-1.2159347534179688e-05,0.40061306953430176,2.7418136596679688e-05
13,1731093698.7951195,1731093698.9953516,1731093698.9954147,1731093699.1956372,4.76837158203125e-06,0.40051770210266113,2.2649765014648438e-05
14,1731093700.2733827,1731093700.4736114,1731093700.4736743,1731093700.6739511,-2.4080276489257812e-05,0.40056848526000977,4.696846008300781e-05
15,1731093701.2303362,1731093701.4305818,1731093701.430643,1731093701.63081,3.933906555175781e-05,0.40047383308410645,7.557868957519531e-05
16,1731093702.5404634,1731093702.7406578,1731093702.740718,1731093702.9409587,-2.3245811462402344e-05,0.4004952907562256,3.0279159545898438e-05
17,1731093703.6043246,1731093703.8045776,1731093703.8046389,1731093704.0049264,-1.728534698486328e-05,0.400601863861084,4.792213439941406e-05
18,1731093704.562025,1731093704.7623086,1731093704.7623715,1731093704.9626422,6.4373016357421875e-06,0.4006171226501465,4.124641418457031e-05
19,1731093706.3086748,1731093706.508928,1731093706.508989,1731093706.7091672,3.7550926208496094e-05,0.40049242973327637,3.814697265625e-06
20,1731093707.9847527,1731093708.1849718,1731093708.1850352,1731093708.385283,-1.430511474609375e-05,0.4005303382873535,1.811981201171875e-05
21,1731093709.6615493,1731093709.8618336,1731093709.8619516,1731093710.062187,2.4437904357910156e-05,0.4006376266479492,5.9604644775390625e-06
22,1731093711.5241227,1731093711.7243426,1731093711.7244046,1731093711.9246593,-1.7404556274414062e-05,0.40053653717041016,1.1205673217773438e-05
23,1731093712.805544,1731093713.0057688,1731093713.005829,1731093713.2061229,-3.445148468017578e-05,0.40057897567749023,4.5299530029296875e-05
24,1731093713.8470728,1731093714.0473404,1731093714.0474017,1731093714.247599,3.516674041748047e-05,0.4005260467529297,1.049041748046875e-05
25,1731093715.2855752,1731093715.4858003,1731093715.4859235,1731093715.686131,8.821487426757812e-06,0.4005558490753174,1.430511474609375e-06
26,1731093716.8949625,1731093717.0951939,1731093717.095255,1731093717.2955103,-1.2040138244628906e-05,0.40054774284362793,1.33514404296875e-05
27,1731093718.676295,1731093718.8765182,1731093718.87658,1731093719.076801,1.0728836059570312e-06,0.40050601959228516,1.1920928955078125e-05
28,1731093720.143234,1731093720.3434796,1731093720.343541,1731093720.5437913,-2.384185791015625e-06,0.400557279586792,1.4781951904296875e-05
29,1731093721.9872358,1731093722.1874626,1731093722.187527,1731093722.3877625,-4.410743713378906e-06,0.400526762008667,1.9073486328125e-05
30,1731093723.417607,1731093723.6178436,1731093723.617961,1731093723.8181875,5.0067901611328125e-06,0.40058040618896484,1.4543533325195312e-05
31,1731093724.7612813,1731093724.9615114,1731093724.9615717,1731093725.1618235,-1.0848045349121094e-05,0.4005422592163086,2.47955322265625e-05
32,1731093726.1116529,1731093726.3119369,1731093726.3119974,1731093726.5122206,3.039836883544922e-05,0.40056777000427246,5.7220458984375e-06
33,1731093727.0303483,1731093727.2306106,1731093727.2306728,1731093727.4309793,-2.205371856689453e-05,0.4006309509277344,1.6689300537109375e-05
34,1731093733.929461,1731093734.129683,1731093734.1297457,1731093734.3299737,-2.9802322387695312e-06,0.4005126953125,1.9311904907226562e-05
35,1731093735.1077921,1731093735.3080459,1731093735.308107,1731093735.5083568,1.9073486328125e-06,0.40056467056274414,1.7642974853515625e-05
