round,t1,t2,t3,t4,offset,rtt,diff
1,1731092138.7819874,1731092138.6280046,1731092138.6281037,1731092138.8827014,-0.2042902708053589,0.10071396827697754,0.00010609626770019531
2,1731092139.299186,1731092139.3494322,1731092139.3494985,1731092139.3999302,-9.274482727050781e-05,0.10074424743652344,0.0001232624053955078
3,1731092140.3338184,1731092140.3841486,1731092140.3842118,1731092140.434349,9.644031524658203e-05,0.10053062438964844,2.5510787963867188e-05
4,1731092141.7618918,1731092141.8122094,1731092141.8122742,1731092141.8625193,3.62396240234375e-05,0.10062742233276367,1.2159347534179688e-05
5,1731092142.4404843,1731092142.4906778,1731092142.4907413,1731092142.5410285,-4.684925079345703e-05,0.10054421424865723,3.504753112792969e-05
6,1731092143.2349997,1731092143.2852523,1731092143.2853165,1731092143.3355331,1.800060272216797e-05,0.10053348541259766,1.71661376953125e-05
7,1731092144.380589,1731092144.4308171,1731092144.4309824,1731092144.4812243,-6.9141387939453125e-06,0.10063529014587402,2.4557113647460938e-05
8,1731092145.0744178,1731092145.1246662,1731092145.1247296,1731092145.174957,1.049041748046875e-05,0.1005392074584961,1.3589859008789062e-05
9,1731092146.0879571,1731092146.138185,1731092146.1382494,1731092146.1884792,-9.5367431640625e-07,0.10052204132080078,1.4781951904296875e-05
10,1731092152.3932583,1731092152.4434755,1731092152.443539,1731092152.4937725,-8.225440979003906e-06,0.10051417350769043,2.288818359375e-05
11,1731092153.6722877,1731092153.7225237,1731092153.7225876,1731092153.7728162,3.6954879760742188e-06,0.10052847862243652,1.9311904907226562e-05
12,1731092155.0716202,1731092155.1219003,1731092155.121966,1731092155.1722107,1.7642974853515625e-05,0.10059046745300293,1.6689300537109375e-06
13,1731092156.302838,1731092156.35308,1731092156.3531451,1731092156.4034126,-1.2755393981933594e-05,0.10057449340820312,1.430511474609375e-05
14,1731092157.3994658,1731092157.4496732,1731092157.4497375,1731092157.500031,-4.303455352783203e-05,0.10056519508361816,5.7220458984375e-05
15,1731092158.0822985,1731092158.1325784,1731092158.1326427,1731092158.1828904,1.609325408935547e-05,0.10059189796447754,4.100799560546875e-05
16,1731092164.135502,1731092164.185734,1731092164.1857994,1731092164.2359815,2.491474151611328e-05,0.1004793643951416,1.6450881958007812e-05
17,1731092165.3604817,1731092165.4106905,1731092165.4107544,1731092165.4609652,-9.5367431640625e-07,0.10048341751098633,1.7642974853515625e-05
18,1731092166.5605612,1731092166.6107843,1731092166.6109042,1731092166.6611404,-6.556510925292969e-06,0.10057926177978516,2.384185791015625e-05
19,1731092168.1416335,1731092168.1919253,1731092168.1919904,1731092168.24225,1.609325408935547e-05,0.100616455078125,7.867813110351562e-06
20,1731092169.0599363,1731092169.1101553,1731092169.1102204,1731092169.1604626,-1.1563301086425781e-05,0.10052633285522461,1.9311904907226562e-05
21,1731092169.740327,1731092169.7905593,1731092169.7906241,1731092169.840916,-2.968311309814453e-05,0.10058903694152832,4.9591064453125e-05
22,1731092171.1702795,1731092171.2205434,1731092171.220609,1731092171.270812,3.039836883544922e-05,0.10053253173828125,7.677078247070312e-05
23,1731092171.8752453,1731092171.925471,1731092171.925535,1731092171.9757638,-1.5497207641601562e-06,0.10051846504211426,2.002716064453125e-05
24,1731092177.6129515,1731092177.6631842,1731092177.6632478,1731092177.7134936,-6.556510925292969e-06,0.10054206848144531,2.7418136596679688e-05
25,1731092178.9295065,1731092178.9797082,1731092178.979772,1731092179.0299566,8.58306884765625e-06,0.10045003890991211,1.7881393432617188e-05
26,1731092179.7704546,1731092179.8209019,1731092179.820967,1731092179.8713253,4.4465065002441406e-05,0.10087060928344727,2.6226043701171875e-05
27,1731092181.178781,1731092181.228951,1731092181.2290154,1731092181.2792866,-5.066394805908203e-05,0.10050559043884277,2.4318695068359375e-05
28,1731092182.069815,1731092182.120105,1731092182.1201704,1731092182.1704013,2.956390380859375e-05,0.1005864143371582,5.245208740234375e-06
29,1731092183.0494308,1731092183.0996928,1731092183.099758,1731092183.150018,9.5367431640625e-07,0.10058712959289551,5.4836273193359375e-06
30,1731092183.9939604,1731092184.0442445,1731092184.0443087,1731092184.094572,1.0371208190917969e-05,0.10061168670654297,1.6927719116210938e-05
31,1731092185.5397754,1731092185.5899842,1731092185.590048,1731092185.6403086,-2.586841583251953e-05,0.10053324699401855,9.775161743164062e-06
32,1731092186.2329872,1731092186.2833023,1731092186.2833662,1731092186.333581,5.0187110900878906e-05,0.10059380531311035,4.124641418457031e-05
33,1731092187.107354,1731092187.1575897,1731092187.1576529,1731092187.2080328,-7.212162017822266e-05,0.10067892074584961,3.123283386230469e-05
34,1731092188.6639786,1731092188.7142565,1731092188.7143216,1731092188.7645423,2.86102294921875e-05,0.10056376457214355,2.86102294921875e-06
35,1731092189.8569224,1731092189.9072335,1731092189.9072986,1731092189.95755,2.9802322387695312e-05,0.10062766075134277,2.6464462280273438e-05
36,1731092190.572645,1731092190.6228967,1731092190.6229615,1731092190.6732414,-1.4066696166992188e-05,0.10059642791748047,1.3113021850585938e-05
