round,t1,t2,t3,t4,offset,rtt,diff
1,1731141090.894362,1731141091.520041,None,1731141091.2950804,0.20035922527313232,0.40071845054626465,6.818771362304688e-05
2,1731141092.311431,1731141092.936955,None,1731141092.71186,0.20021450519561768,0.40042901039123535,1.4066696166992188e-05
3,1731141093.8008826,1731141094.4264224,None,1731141094.2012892,0.2002032995223999,0.4004065990447998,1.3828277587890625e-05
4,1731141095.5183113,1731141096.1439207,None,1731141095.9188726,0.20028066635131836,0.4005613327026367,5.7220458984375e-06
5,1731141096.8974583,1731141097.5230021,None,1731141097.297908,0.2002248764038086,0.4004497528076172,3.814697265625e-06
6,1731141098.0428894,1731141098.668416,None,1731141098.4432876,0.20019912719726562,0.40039825439453125,4.76837158203125e-06
7,1731141099.564606,1731141100.1901417,None,1731141099.9650605,0.2002272605895996,0.4004545211791992,1.430511474609375e-05
8,1731141100.9156063,1731141101.5411172,None,1731141101.3160279,0.2002108097076416,0.4004216194152832,2.288818359375e-05
9,1731141102.1504083,1731141102.775937,None,1731141102.5508385,0.20021510124206543,0.40043020248413086,9.298324584960938e-06
10,1731141103.3190856,1731141103.9446132,None,1731141103.7195165,0.20021545886993408,0.40043091773986816,1.0728836059570312e-05
11,1731141110.1378586,1731141110.7633746,None,1731141110.5383089,0.2002251148223877,0.4004502296447754,3.2901763916015625e-05
12,1731141116.3176105,1731141116.943137,None,1731141116.7180376,0.20021355152130127,0.40042710304260254,9.5367431640625e-06
13,1731141117.5249488,1731141118.1504753,None,1731141117.9254055,0.20022833347320557,0.40045666694641113,2.4557113647460938e-05
14,1731141118.4736364,1731141119.099162,None,1731141118.8740788,0.20022118091583252,0.40044236183166504,1.8596649169921875e-05
15,1731141120.142093,1731141120.767703,None,1731141120.542624,0.2002655267715454,0.4005310535430908,2.1219253540039062e-05
16,1731141121.3466182,1731141121.9721408,None,1731141121.7470543,0.2002180814743042,0.4004361629486084,1.8358230590820312e-05
17,1731141122.2963448,1731141122.9219098,None,1731141122.696824,0.2002396583557129,0.4004793167114258,2.1457672119140625e-06
18,1731141123.4672794,1731141124.0928104,None,1731141123.8677523,0.20023643970489502,0.40047287940979004,2.86102294921875e-05
19,1731141125.0098948,1731141125.635421,None,1731141125.4104378,0.20027148723602295,0.4005429744720459,6.842613220214844e-05
20,1731141131.431125,1731141132.0566494,None,1731141131.8316107,0.20024287700653076,0.4004857540130615,4.172325134277344e-05
21,1731141133.1581714,1731141133.783662,None,1731141133.5586343,0.2002314329147339,0.4004628658294678,6.389617919921875e-05
22,1731141134.7629871,1731141135.3885276,None,1731141135.1634421,0.2002274990081787,0.4004549980163574,1.0013580322265625e-05
23,1731141136.618418,1731141137.243938,None,1731141137.0188534,0.20021772384643555,0.4004354476928711,2.09808349609375e-05
24,1731141138.3746314,1731141139.0001671,None,1731141138.7750688,0.20021867752075195,0.4004373550415039,5.9604644775390625e-06
25,1731141139.3492513,1731141139.9747677,None,1731141139.7497413,0.20024502277374268,0.40049004554748535,5.173683166503906e-05
26,1731141140.3720489,1731141140.9976234,None,1731141140.7725286,0.200239896774292,0.400479793548584,5.364418029785156e-05
27,1731141142.0301962,1731141142.6557271,None,1731141142.43063,0.2002168893814087,0.4004337787628174,8.821487426757812e-06
28,1731141143.895422,1731141144.5209882,None,1731141144.2959094,0.20024371147155762,0.40048742294311523,2.384185791015625e-07
