round,t1,t2,t3,t4,offset,rtt,diff
1,1731141090.8291306,1731141091.5211847,None,1731141091.2298932,0.20038127899169922,0.40076255798339844,1.8596649169921875e-05
2,1731141092.1382656,1731141092.8302884,None,1731141092.5390358,0.20038509368896484,0.4007701873779297,4.601478576660156e-05
3,1731141093.2923865,1731141093.9842794,None,1731141093.6930306,0.20032203197479248,0.40064406394958496,2.0742416381835938e-05
4,1731141094.5393722,1731141095.2312665,None,1731141094.9400392,0.20033347606658936,0.4006669521331787,3.0279159545898438e-05
5,1731141101.098028,1731141101.789946,None,1731141101.498691,0.20033156871795654,0.4006631374359131,4.76837158203125e-06
6,1731141102.622787,1731141103.314685,None,1731141103.0234346,0.20032382011413574,0.4006476402282715,1.6927719116210938e-05
7,1731141104.1030533,1731141104.7949991,None,1731141104.5037491,0.200347900390625,0.40069580078125,6.67572021484375e-06
8,1731141105.6530697,1731141106.344977,None,1731141106.0537312,0.2003307342529297,0.4006614685058594,1.4543533325195312e-05
9,1731141106.9372613,1731141107.6293082,None,1731141107.3380673,0.20040297508239746,0.4008059501647949,5.269050598144531e-05
10,1731141108.4610178,1731141109.1529412,None,1731141108.8617554,0.2003687620162964,0.4007375240325928,3.62396240234375e-05
11,1731141109.4960086,1731141110.1879623,None,1731141109.8967147,0.20035302639007568,0.40070605278015137,9.298324584960938e-06
12,1731141111.3637629,1731141112.0556717,None,1731141111.7644224,0.20032978057861328,0.40065956115722656,1.1920928955078125e-05
13,1731141112.4493525,1731141113.1412349,None,1731141112.849981,0.20031428337097168,0.40062856674194336,2.3126602172851562e-05
14,1731141113.6758504,1731141114.367751,None,1731141114.0764658,0.2003077268600464,0.4006154537200928,1.6689300537109375e-06
15,1731141119.6363986,1731141120.3282864,None,1731141120.037015,0.2003082036972046,0.4006164073944092,1.2159347534179688e-05
16,1731141121.3984067,1731141122.0903132,None,1731141121.7991142,0.200353741645813,0.400707483291626,3.838539123535156e-05
17,1731141122.7864017,1731141123.4782963,None,1731141123.1870549,0.2003265619277954,0.4006531238555908,2.3365020751953125e-05
18,1731141123.9237926,1731141124.6156805,None,1731141124.3244207,0.20031404495239258,0.40062808990478516,1.7642974853515625e-05
19,1731141125.124076,1731141125.8159726,None,1731141125.5246172,0.2002706527709961,0.4005413055419922,3.504753112792969e-05
20,1731141126.6788611,1731141127.3707469,None,1731141127.0794988,0.2003188133239746,0.4006376266479492,2.4318695068359375e-05
21,1731141127.9206233,1731141128.6125128,None,1731141128.3212633,0.20032000541687012,0.40064001083374023,8.749961853027344e-05
22,1731141129.1263528,1731141129.818242,None,1731141129.5269938,0.20032048225402832,0.40064096450805664,2.2649765014648438e-05
23,1731141130.3125176,1731141131.004437,None,1731141130.7131662,0.20032429695129395,0.4006485939025879,3.814697265625e-06
24,1731141131.3732212,1731141132.0651376,None,1731141131.7739108,0.20034480094909668,0.40068960189819336,1.9311904907226562e-05
25,1731141132.4525452,1731141133.1443968,None,1731141132.853116,0.2002854347229004,0.4005708694458008,2.4557113647460938e-05
26,1731141134.0957413,1731141134.7876217,None,1731141134.496427,0.20034289360046387,0.40068578720092773,5.364418029785156e-05
27,1731141135.3923182,1731141136.084226,None,1731141135.7929544,0.2003180980682373,0.4006361961364746,1.9073486328125e-06
28,1731141141.6946619,1731141142.3865397,None,1731141142.0953534,0.20034575462341309,0.40069150924682617,5.888938903808594e-05
29,1731141142.8696878,1731141143.5615757,None,1731141143.2703898,0.20035099983215332,0.40070199966430664,5.435943603515625e-05
30,1731141144.1682498,1731141144.8601985,None,1731141144.5689385,0.20034432411193848,0.40068864822387695,1.3113021850585938e-05
