round,t1,t2,t3,t4,offset,rtt,diff
1,1731093543.0873935,None,None,None,-1,None,0.46426987648010254
2,1731093549.0941164,None,None,None,-0.43393921852111816,None,0.89821457862854
3,1731093549.6727066,None,None,None,-1,None,0.8982117176055908
4,1731093555.6791883,None,None,None,-1.2442290782928467,None,2.142443895339966
5,1731093555.4464588,None,None,None,2.6140542030334473,None,0.47161030769348145
6,1731093560.059129,None,None,None,-0.7375805377960205,None,0.26597046852111816
7,1731093560.3335474,None,None,None,2.384185791015625e-07,None,0.26596999168395996
8,1731093561.3455746,None,None,None,-1,None,0.26596760749816895
9,1731093567.3521185,None,None,None,1.6684532165527344,None,1.4024829864501953
10,1731093570.021951,None,None,None,-0.8342628479003906,None,0.5682199001312256
11,1731093570.1890593,None,None,None,-1.2460672855377197,None,0.6778476238250732
12,1731093569.9440274,None,None,None,0.5283422470092773,None,0.1495044231414795
13,1731093571.5163908,None,None,None,-0.20860028266906738,None,0.3581051826477051
14,1731093572.32036,None,None,None,-0.011605024337768555,None,0.36970949172973633
15,1731093573.3208952,None,None,None,0.12935709953308105,None,0.24035286903381348
16,1731093574.462283,None,None,None,0.10295653343200684,None,0.13739633560180664
17,1731093575.5775628,None,None,None,-1,None,0.13739347457885742
18,1731093581.5840185,None,None,None,-2.492429733276367,None,2.629826307296753
19,1731093580.103924,None,None,None,1.8658454418182373,None,0.7639808654785156
20,1731093582.9817348,None,None,None,7.152557373046875e-06,None,0.7639734745025635
21,1731093583.9939153,None,None,None,-6.103515625e-05,None,0.7640326023101807
22,1731093585.005905,None,None,None,-2.7894973754882812e-05,None,0.7640621662139893
23,1731093586.0178237,None,None,None,3.9577484130859375e-05,None,0.7640230655670166
24,1731093587.0297048,None,None,None,6.461143493652344e-05,None,0.7639579772949219
25,1731093588.0417507,None,None,None,-1,None,0.7639555931091309
26,1731093594.048192,None,None,None,-1,None,0.7639555931091309
27,1731093600.0546098,None,None,None,-0.8042845726013184,None,1.5682430267333984
28,1731093600.262555,None,None,None,-1,None,1.5682404041290283
29,1731093606.2689903,None,None,None,0.48576879501342773,None,1.0824739933013916
30,1731093607.7667334,None,None,None,1.3704144954681396,None,0.28794050216674805
31,1731093611.1398432,None,None,None,-1,None,0.28794336318969727
32,1731093617.146259,None,None,None,-2.8615214824676514,None,2.5735809803009033
33,1731093615.296927,None,None,None,1.9912786483764648,None,0.5823025703430176
34,1731093618.3000448,None,None,None,9.059906005859375e-06,None,0.5822935104370117
35,1731093619.3118834,None,None,None,6.365776062011719e-05,None,0.5822291374206543
36,1731093620.3238933,None,None,None,9.298324584960938e-06,None,0.5822205543518066
37,1731093621.3359077,None,None,None,2.1219253540039062e-05,None,0.5821990966796875
38,1731093622.3480165,None,None,None,-8.749961853027344e-05,None,0.5822865962982178
