round,t1,t2,t3,t4,offset,rtt,diff
1,1731092215.9137595,1731092216.3087125,None,1731092216.014481,0.44531381130218506,0.10072159767150879,0.10063624382019043
2,1731092217.9050689,1731092217.8546984,None,1731092218.0058463,1.823902130126953e-05,0.10077738761901855,0.1007087230682373
3,1731092219.248266,1731092219.197926,None,1731092219.3490539,5.4001808166503906e-05,0.10078787803649902,0.10076403617858887
4,1731092220.35734,1731092220.3069446,None,1731092220.458117,-7.033348083496094e-06,0.10077691078186035,0.10075664520263672
5,1731092221.430149,1731092221.3797085,None,1731092221.530879,-7.557868957519531e-05,0.10072994232177734,0.10068058967590332
6,1731092222.9897506,1731092222.939408,None,1731092223.0906394,0.00010180473327636719,0.10088872909545898,0.10078239440917969
7,1731092224.357705,1731092224.3071325,None,1731092224.4583197,-0.00026535987854003906,0.10061454772949219,0.10051727294921875
8,1731092225.5686786,1731092225.518472,None,1731092225.6694717,0.00018990039825439453,0.10079312324523926,0.10070681571960449
9,1731092226.4887981,1731092226.4384637,None,1731092226.5896919,0.00011241436004638672,0.10089373588562012,0.10081958770751953
10,1731092227.326323,1731092227.2758048,None,1731092227.427143,-0.00010824203491210938,0.10082006454467773,0.10071110725402832
11,1731092228.6988833,1731092228.648484,None,1731092228.7996655,-8.225440979003906e-06,0.10078215599060059,0.10070300102233887
12,1731092234.7259572,1731092234.6755679,None,1731092234.8267436,3.933906555175781e-06,0.10078644752502441,0.10070681571960449
13,1731092235.7097502,1731092235.6593635,None,1731092235.8104897,-1.6927719116210938e-05,0.1007394790649414,0.10069012641906738
14,1731092236.6059039,1731092236.5554962,None,1731092236.7066498,-3.4689903259277344e-05,0.10074591636657715,0.10065507888793945
15,1731092237.607984,1731092237.5576108,None,1731092237.7087088,-1.0967254638671875e-05,0.10072469711303711,0.10064435005187988
16,1731092238.5769937,1731092238.526687,None,1731092238.6777236,5.817413330078125e-05,0.10072994232177734,0.10070252418518066
17,1731092239.863154,1731092239.812932,None,1731092239.9640431,0.00022268295288085938,0.10088920593261719,0.10092496871948242
18,1731092240.9959867,1731092240.9453743,None,1731092241.096706,-0.00025284290313720703,0.10071921348571777,0.10067248344421387
19,1731092242.238613,1731092242.1882458,None,1731092242.3393297,-8.702278137207031e-06,0.10071682929992676,0.10066390037536621
20,1731092243.1171217,1731092243.066758,None,1731092243.2178981,2.4437904357910156e-05,0.10077643394470215,0.10068845748901367
21,1731092243.9701476,1731092243.9197698,None,1731092244.0708952,-4.0531158447265625e-06,0.10074758529663086,0.10068440437316895
22,1731092245.323547,1731092245.2732532,None,1731092245.4243462,0.00010597705841064453,0.1007993221282959,0.10079026222229004
23,1731092246.116834,1731092246.0663447,None,1731092246.2175493,-0.00013148784637451172,0.10071539878845215,0.10065865516662598
24,1731092246.7779326,1731092246.7275674,None,1731092246.8786607,-1.1920928955078125e-06,0.10072803497314453,0.10065722465515137
25,1731092247.6742334,1731092247.6239316,None,1731092247.7750113,8.71419906616211e-05,0.10077786445617676,0.10074472427368164
26,1731092249.0473652,1731092248.9969506,None,1731092249.1480942,-5.0067901611328125e-05,0.10072898864746094,0.10069417953491211
27,1731092250.5546887,1731092250.5044923,None,1731092250.6556742,0.0002963542938232422,0.10098552703857422,0.10099101066589355
28,1731092251.612696,1731092251.5620403,None,1731092251.7134418,-0.00028264522552490234,0.10074591636657715,0.1007080078125
29,1731092258.1976511,1731092258.1472404,None,1731092258.2983634,-5.459785461425781e-05,0.10071229934692383,0.10065388679504395
30,1731092259.5068343,1731092259.4565127,None,1731092259.6077495,0.0001360177993774414,0.10091519355773926,0.10078978538513184
31,1731092261.0190318,1731092260.9685442,None,1731092261.1197655,-0.00012063980102539062,0.10073375701904297,0.10066866874694824
32,1731092262.1358018,1731092262.0854428,None,1731092262.2365255,2.86102294921875e-06,0.1007237434387207,0.10060548782348633
33,1731092263.3567748,1731092263.3064659,None,1731092263.45767,0.0001386404037475586,0.10089516639709473,0.10081028938293457
34,1731092264.0832925,1731092264.032746,None,1731092264.184004,-0.00019061565399169922,0.10071158409118652,0.10062026977539062
35,1731092265.500779,1731092265.4506323,None,1731092265.6016731,0.00030052661895751953,0.10089421272277832,0.10092020034790039
36,1731092266.4276104,1731092266.3770068,None,1731092266.528472,-0.0001728534698486328,0.1008615493774414,0.10074806213378906
37,1731092267.9907434,1731092267.9402971,None,1731092268.091462,-8.702278137207031e-05,0.10071849822998047,0.10066032409667969
38,1731092274.199837,1731092274.149469,None,1731092274.3006072,1.704692840576172e-05,0.10077023506164551,0.1006772518157959
39,1731092275.2562213,1731092275.2059114,None,1731092275.3570073,8.308887481689453e-05,0.10078597068786621,0.10076069831848145
40,1731092276.1652246,1731092276.114775,None,1731092276.2660332,-4.5299530029296875e-05,0.10080862045288086,0.10071563720703125
41,1731092277.4329484,1731092277.3825839,None,1731092277.5337188,2.0742416381835938e-05,0.10077047348022461,0.10073590278625488
42,1731092278.248133,1731092278.1977072,None,1731092278.3488595,-6.246566772460938e-05,0.10072660446166992,0.10067367553710938
43,1731092279.4131088,1731092279.3627374,None,1731092279.513819,-1.633167266845703e-05,0.10071015357971191,0.10065746307373047
44,1731092280.0588992,1731092280.0085633,None,1731092280.1596143,2.1696090698242188e-05,0.10071516036987305,0.10067915916442871
45,1731092281.3844264,1731092281.3340886,None,1731092281.485171,3.457069396972656e-05,0.10074472427368164,0.10071396827697754
46,1731092282.4182851,1731092282.3679545,None,1731092282.5192168,0.00013518333435058594,0.10093164443969727,0.10084843635559082
47,1731092283.965239,1731092283.914692,None,1731092284.065937,-0.00019812583923339844,0.10069799423217773,0.10065031051635742
48,1731092285.0416229,1731092284.9912713,None,1731092285.1423478,1.0848045349121094e-05,0.10072493553161621,0.1006619930267334
49,1731092286.3607943,1731092286.3104885,None,1731092286.4616008,9.739398956298828e-05,0.10080647468566895,0.10075855255126953
50,1731092287.6387916,1731092287.5883617,None,1731092287.7395263,-6.246566772460938e-05,0.10073471069335938,0.10069656372070312
51,1731092288.5451171,1731092288.4947324,None,1731092288.6458452,-2.0742416381835938e-05,0.10072803497314453,0.10067558288574219
52,1731092289.4387574,1731092289.388405,None,1731092289.5395164,2.7179718017578125e-05,0.10075902938842773,0.10070323944091797
53,1731092290.2613122,1731092290.210977,None,1731092290.3621423,7.987022399902344e-05,0.100830078125,0.10078263282775879
54,1731092290.937158,1731092290.8866842,None,1731092291.0379064,-9.97781753540039e-05,0.10074830055236816,0.10068297386169434
