round,t1,t2,t3,t4,offset,rtt,diff
1,1731141188.374826,1731141188.8181403,None,1731141188.7754338,0.20030391216278076,0.4006078243255615,9.822845458984375e-05
2,1731141189.9462945,1731141190.3896468,None,1731141190.346989,0.2003471851348877,0.4006943702697754,4.363059997558594e-05
3,1731141191.3688877,1731141191.8121417,None,1731141191.7693174,0.20021486282348633,0.40042972564697266,8.58306884765625e-06
4,1731141192.4329157,1731141192.8761687,None,1731141192.833393,0.20023870468139648,0.40047740936279297,3.361701965332031e-05
5,1731141193.9881654,1731141194.431438,None,1731141194.388626,0.20023036003112793,0.40046072006225586,5.4836273193359375e-06
6,1731141195.730776,1731141196.1740599,None,1731141196.131251,0.20023751258850098,0.40047502517700195,1.430511474609375e-06
7,1731141197.5210257,1731141197.9642782,None,1731141197.9214554,0.20021486282348633,0.40042972564697266,1.0251998901367188e-05
8,1731141198.8047493,1731141199.2479653,None,1731141199.205156,0.20020341873168945,0.4004068374633789,3.504753112792969e-05
9,1731141200.325625,1731141200.7689574,None,1731141200.7260787,0.20022690296173096,0.4004538059234619,5.817413330078125e-05
10,1731141201.3151977,1731141201.7584527,None,1731141201.7156308,0.20021653175354004,0.4004330635070801,9.298324584960938e-06
11,1731141202.994462,1731141203.4378388,None,1731141203.395082,0.20030999183654785,0.4006199836730957,1.9073486328125e-05
12,1731141204.4234154,1731141204.8667104,None,1731141204.8238974,0.20024096965789795,0.4004819393157959,6.4373016357421875e-06
13,1731141205.3466709,1731141205.7900472,None,1731141205.7472365,0.20028281211853027,0.40056562423706055,4.57763671875e-05
14,1731141211.9990323,1731141212.4423742,None,1731141212.3995602,0.20026397705078125,0.4005279541015625,2.9802322387695312e-05
15,1731141213.8317914,1731141214.2751083,None,1731141214.2322946,0.20025157928466797,0.40050315856933594,1.7404556274414062e-05
16,1731141214.8637004,1731141215.3069634,None,1731141215.2641537,0.20022666454315186,0.4004533290863037,1.1205673217773438e-05
17,1731141216.7072008,1731141217.1504865,None,1731141217.107674,0.20023655891418457,0.40047311782836914,1.1920928955078125e-06
18,1731141218.190054,1731141218.6333222,None,1731141218.5904999,0.20022296905517578,0.40044593811035156,2.6226043701171875e-06
19,1731141219.5624075,1731141220.0056722,None,1731141219.9628997,0.20024609565734863,0.40049219131469727,2.9325485229492188e-05
20,1731141221.2600608,1731141221.703373,None,1731141221.6605544,0.20024681091308594,0.4004936218261719,1.7642974853515625e-05
21,1731141227.498497,1731141227.9417584,None,1731141227.8989084,0.20020568370819092,0.40041136741638184,7.867813110351562e-06
22,1731141229.2693014,1731141229.7125537,None,1731141229.6697445,0.20022153854370117,0.40044307708740234,1.6927719116210938e-05
23,1731141230.3436964,1731141230.7869442,None,1731141230.744131,0.2002173662185669,0.4004347324371338,1.7404556274414062e-05
24,1731141231.6892338,1731141232.132489,None,1731141232.089682,0.2002241611480713,0.4004483222961426,1.6450881958007812e-05
25,1731141232.810061,1731141233.2533205,None,1731141233.2105122,0.2002255916595459,0.4004511833190918,1.4066696166992188e-05
26,1731141234.604919,1731141235.0481358,None,1731141235.0052834,0.20018219947814941,0.40036439895629883,1.33514404296875e-05
27,1731141235.669144,1731141236.1123786,None,1731141236.0695267,0.20019137859344482,0.40038275718688965,4.0531158447265625e-06
28,1731141237.188733,1731141237.6319902,None,1731141237.5891762,0.20022153854370117,0.40044307708740234,1.2159347534179688e-05
29,1731141238.2657392,1731141238.7089965,None,1731141238.666187,0.2002239227294922,0.4004478454589844,1.4781951904296875e-05
30,1731141239.9965396,1731141240.4397893,None,1731141240.3969767,0.2002185583114624,0.4004371166229248,1.6450881958007812e-05
31,1731141241.5571785,1731141242.0004234,None,1731141241.9577515,0.20028650760650635,0.4005730152130127,8.940696716308594e-05
32,1731141242.6534064,1731141243.0966735,None,1731141243.0539095,0.20025157928466797,0.40050315856933594,3.266334533691406e-05
33,1731141244.0813706,1731141244.5246353,None,1731141244.4818907,0.20026004314422607,0.40052008628845215,4.3392181396484375e-05
34,1731141245.7878559,1731141246.23111,None,1731141246.1883955,0.20026981830596924,0.4005396366119385,6.318092346191406e-05
35,1731141247.664558,1731141248.1078205,None,1731141248.0650287,0.20023536682128906,0.4004707336425781,2.0503997802734375e-05
36,1731141249.0227146,1731141249.4659681,None,1731141249.4231622,0.20022380352020264,0.4004476070404053,1.7642974853515625e-05
37,1731141250.0274303,1731141250.470683,None,1731141250.4279273,0.20024847984313965,0.4004969596862793,4.38690185546875e-05
38,1731141251.0643113,1731141251.507557,None,1731141251.464749,0.20021891593933105,0.4004378318786621,2.1219253540039062e-05
39,1731141252.3852646,1731141252.8285227,None,1731141252.7857206,0.20022797584533691,0.40045595169067383,1.7881393432617188e-05
40,1731141253.6745822,1731141254.1178327,None,1731141254.075064,0.2002408504486084,0.4004817008972168,3.838539123535156e-05
