round,t1,t2,t3,t4,offset,rtt,diff
1,1731141290.7296424,1731141290.8492725,None,1731141291.1302264,0.20029199123382568,0.40058398246765137,7.772445678710938e-05
2,1731141291.7119436,1731141291.8315728,None,1731141292.1125965,0.20032644271850586,0.4006528854370117,5.316734313964844e-05
3,1731141293.6058383,1731141293.7254937,None,1731141294.006475,0.2003183364868164,0.4006366729736328,1.811981201171875e-05
4,1731141295.3394034,1731141295.4590647,None,1731141295.7400546,0.200325608253479,0.400651216506958,1.9311904907226562e-05
5,1731141296.706836,1731141296.8265078,None,1731141297.107486,0.20032501220703125,0.4006500244140625,8.344650268554688e-06
6,1731141297.7934463,1731141297.9131174,None,1731141298.1940954,0.20032453536987305,0.4006490707397461,8.344650268554688e-06
7,1731141299.5593712,1731141299.6790366,None,1731141299.9600308,0.20032978057861328,0.40065956115722656,1.9788742065429688e-05
8,1731141300.9853318,1731141301.1049824,None,1731141301.3859613,0.20031476020812988,0.40062952041625977,1.9073486328125e-05
9,1731141302.339829,1731141302.4594612,None,1731141302.7404516,0.2003113031387329,0.4006226062774658,3.4332275390625e-05
10,1731141303.7039063,1731141303.8235583,None,1731141304.1046069,0.20035028457641602,0.40070056915283203,5.316734313964844e-05
11,1731141310.0952287,1731141310.214957,None,1731141310.4959018,0.20033657550811768,0.40067315101623535,3.695487976074219e-05
12,1731141311.2284453,1731141311.34812,None,1731141311.6291008,0.20032775402069092,0.40065550804138184,8.344650268554688e-06
13,1731141317.5733469,1731141317.6930435,None,1731141317.974025,0.20033907890319824,0.4006781578063965,2.1457672119140625e-06
14,1731141318.8488576,1731141318.9684765,None,1731141319.2494187,0.2002805471420288,0.4005610942840576,1.6689300537109375e-05
15,1731141320.3851545,1731141320.5048141,None,1731141320.7859025,0.20037400722503662,0.40074801445007324,6.914138793945312e-05
16,1731141321.347102,1731141321.466764,None,1731141321.7478037,0.20035088062286377,0.40070176124572754,4.410743713378906e-05
17,1731141322.6297944,1731141322.7494264,None,1731141323.0303876,0.20029664039611816,0.40059328079223633,1.9788742065429688e-05
18,1731141323.6224575,1731141323.7421186,None,1731141324.0230827,0.20031261444091797,0.40062522888183594,6.9141387939453125e-06
19,1731141325.3829215,1731141325.5025923,None,1731141325.78361,0.20034432411193848,0.40068864822387695,2.8848648071289062e-05
20,1731141326.8498714,1731141326.9695415,None,1731141327.2504847,0.20030665397644043,0.40061330795288086,8.344650268554688e-06
21,1731141333.0324259,1731141333.1520839,None,1731141333.433062,0.2003180980682373,0.4006361961364746,1.52587890625e-05
22,1731141334.146588,1731141334.2662475,None,1731141334.5472267,0.2003192901611328,0.4006385803222656,1.4543533325195312e-05
23,1731141335.6705,1731141335.7902498,None,1731141336.071235,0.20036745071411133,0.40073490142822266,2.6702880859375e-05
24,1731141342.3079934,1731141342.4276378,None,1731141342.7086234,0.20031499862670898,0.40062999725341797,2.5510787963867188e-05
25,1731141344.1428814,1731141344.2625508,None,1731141344.543635,0.2003767490386963,0.4007534980773926,6.246566772460938e-05
26,1731141350.7070596,1731141350.8267386,None,1731141351.107783,0.2003617286682129,0.4007234573364258,3.7670135498046875e-05
27,1731141351.9151678,1731141352.034819,None,1731141352.3158302,0.2003312110900879,0.4006624221801758,3.528594970703125e-05
28,1731141353.3776612,1731141353.4973166,None,1731141353.7783096,0.2003241777420044,0.4006483554840088,2.3603439331054688e-05
29,1731141354.8838167,1731141355.0035686,None,1731141355.2846265,0.20040488243103027,0.40080976486206055,7.867813110351562e-06
30,1731141356.1232712,1731141356.2429636,None,1731141356.5240042,0.20036649703979492,0.40073299407958984,2.9325485229492188e-05
31,1731141357.5271173,1731141357.646771,None,1731141357.9277632,0.2003229856491089,0.4006459712982178,2.4318695068359375e-05
32,1731141359.4044354,1731141359.5241263,None,1731141359.8051183,0.20034146308898926,0.4006829261779785,5.4836273193359375e-06
33,1731141360.376412,1731141360.4960704,None,1731141360.7772124,0.2004002332687378,0.4008004665374756,9.679794311523438e-05
