round,t1,t2,t3,t4,offset,rtt,diff
1,1731141290.5123703,1731141290.8454525,None,1731141290.9129705,0.20030009746551514,0.4006001949310303,0.000156402587890625
2,1731141291.4694598,1731141291.8024788,None,1731141291.8698983,0.2002192735671997,0.4004385471343994,1.7881393432617188e-05
3,1731141292.860956,1731141293.194032,None,1731141293.2614708,0.20025742053985596,0.4005148410797119,2.384185791015625e-06
4,1731141294.659393,1731141294.9924161,None,1731141295.0598278,0.2002173662185669,0.4004347324371338,1.049041748046875e-05
5,1731141296.0139313,1731141296.3469632,None,1731141296.4143853,0.2002270221710205,0.400454044342041,1.1444091796875e-05
6,1731141296.9386852,1731141297.2717006,None,1731141297.3391497,0.20023226737976074,0.4004645347595215,3.314018249511719e-05
7,1731141298.5584674,1731141298.8914976,None,1731141298.958935,0.2002338171005249,0.4004676342010498,2.002716064453125e-05
8,1731141300.2456522,1731141300.5786684,None,1731141300.6461623,0.20025503635406494,0.4005100727081299,5.507469177246094e-05
9,1731141307.1174557,1731141307.450449,None,1731141307.5178754,0.2002098560333252,0.4004197120666504,3.2901763916015625e-05
10,1731141318.3931487,1731141318.7261465,None,1731141318.793571,0.20021116733551025,0.4004223346710205,3.0040740966796875e-05
11,1731141320.1001468,1731141320.4331708,None,1731141320.500585,0.20021915435791016,0.4004383087158203,1.1682510375976562e-05
12,1731141321.985428,1731141322.3184488,None,1731141322.38584,0.20020592212677002,0.40041184425354004,7.152557373046875e-07
13,1731141328.6803236,1731141329.0133457,None,1731141329.0808191,0.20024776458740234,0.4004955291748047,4.1961669921875e-05
14,1731141330.4819353,1731141330.81495,None,1731141330.8823588,0.200211763381958,0.400423526763916,1.33514404296875e-05
15,1731141331.57684,1731141331.909926,None,1731141331.977336,0.20024800300598145,0.4004960060119629,2.1696090698242188e-05
16,1731141333.0529184,1731141333.3860724,None,1731141333.4534492,0.20026540756225586,0.4005308151245117,7.271766662597656e-05
17,1731141334.940475,1731141335.273582,None,1731141335.3409934,0.20025920867919922,0.40051841735839844,3.147125244140625e-05
18,1731141336.1260374,1731141336.459104,None,1731141336.526526,0.20024430751800537,0.40048861503601074,5.9604644775390625e-06
19,1731141337.2821681,1731141337.6151927,None,1731141337.6826036,0.20021772384643555,0.4004354476928711,9.775161743164062e-06
20,1731141338.8909457,1731141339.2239692,None,1731141339.291402,0.20022821426391602,0.40045642852783203,2.1219253540039062e-05
21,1731141350.0475028,1731141350.380528,None,1731141350.4479148,0.20020604133605957,0.40041208267211914,2.6226043701171875e-06
22,1731141351.831384,1731141352.1644063,None,1731141352.2318301,0.20022308826446533,0.40044617652893066,1.6927719116210938e-05
23,1731141353.3527079,1731141353.685741,None,1731141353.7531543,0.20022320747375488,0.40044641494750977,6.4373016357421875e-06
24,1731141355.2373018,1731141355.5703373,None,1731141355.6377711,0.20023465156555176,0.4004693031311035,1.5497207641601562e-05
