round,t1,t2,t3,t4,offset,rtt,diff
1,1731093319.8194282,1731093319.5188303,1731093319.5188916,1731093319.8300717,-0.3058890104293823,0.010643482208251953,9.441375732421875e-05
2,1731093325.0441186,1731093325.0494452,1731093325.0495083,1731093325.0549421,-5.364418029785156e-05,0.010823488235473633,7.152557373046875e-05
3,1731093326.4870117,1731093326.492385,1731093326.4924464,1731093326.497917,-4.863739013671875e-05,0.010905265808105469,0.0001201629638671875
4,1731093327.7263606,1731093327.7317798,1731093327.731842,1731093327.7371778,4.172325134277344e-05,0.010817289352416992,7.748603820800781e-05
5,1731093328.672512,1731093328.67796,1731093328.6780212,1731093328.683332,6.854534149169922e-05,0.01081991195678711,9.5367431640625e-06
6,1731093329.569704,1731093329.5750086,1731093329.5750713,1731093329.580369,3.4570693969726562e-06,0.010664939880371094,5.9604644775390625e-06
7,1731093330.684774,1731093330.6900935,1731093330.6901557,1731093330.6955004,-1.2516975402832031e-05,0.010726451873779297,1.8358230590820312e-05
8,1731093331.7742188,1731093331.7795377,1731093331.7796,1731093331.7849355,-8.344650268554688e-06,0.010716676712036133,2.6702880859375e-05
9,1731093333.0312724,1731093333.0366116,1731093333.0366735,1731093333.041988,1.239776611328125e-05,0.010715484619140625,1.4066696166992188e-05
10,1731093334.2532737,1731093334.2586637,1731093334.2587256,1731093334.2640948,1.0371208190917969e-05,0.010821104049682617,3.814697265625e-06
11,1731093334.8663669,1731093334.8719091,1731093334.8719728,1731093334.8773208,9.715557098388672e-05,0.010953903198242188,9.322166442871094e-05
12,1731093341.2084467,1731093341.213667,1731093341.2137291,1731093341.219177,-0.0001138448715209961,0.010730266571044922,2.0503997802734375e-05
13,1731093342.3846238,1731093342.3899484,1731093342.39001,1731093342.3953388,-2.0265579223632812e-06,0.010715007781982422,2.288818359375e-05
14,1731093343.0064597,1731093343.0117855,1731093343.0119076,1731093343.0172365,-1.5497207641601562e-06,0.010776758193969727,2.4557113647460938e-05
15,1731093343.743913,1731093343.7492514,1731093343.7493138,1731093343.7546396,6.318092346191406e-06,0.010726690292358398,1.811981201171875e-05
16,1731093344.342606,1731093344.3479412,1731093344.3480036,1731093344.3533025,1.811981201171875e-05,0.0106964111328125,2.384185791015625e-07
17,1731093345.0316882,1731093345.0371027,1731093345.0371652,1731093345.0424764,5.161762237548828e-05,0.010788202285766602,5.245208740234375e-05
18,1731093351.2482262,1731093351.2534754,1731093351.253538,1731093351.2590082,-0.00011050701141357422,0.010782003402709961,5.91278076171875e-05
19,1731093352.2205112,1731093352.2259395,1731093352.226,1731093352.2314625,-1.704692840576172e-05,0.01095128059387207,7.62939453125e-05
20,1731093352.9226525,1731093352.928034,1731093352.9280965,1731093352.933329,7.450580596923828e-05,0.01067662239074707,1.430511474609375e-06
21,1731093353.805852,1731093353.8112423,1731093353.8113036,1731093353.8166623,1.5854835510253906e-05,0.010810375213623047,1.4543533325195312e-05
22,1731093354.945268,1731093354.9505663,1731093354.9506292,1731093354.9559808,-2.658367156982422e-05,0.010712862014770508,1.1682510375976562e-05
23,1731093355.7747743,1731093355.7800994,1731093355.7801611,1731093355.785499,-6.4373016357421875e-06,0.010724782943725586,1.8358230590820312e-05
24,1731093357.0110526,1731093357.0164032,1731093357.016465,1731093357.0218287,-6.556510925292969e-06,0.010776042938232422,7.677078247070312e-05
25,1731093358.3220863,1731093358.3274677,1731093358.3275294,1731093358.3329642,-2.6702880859375e-05,0.010877847671508789,5.173683166503906e-05
26,1731093359.217456,1731093359.2228146,1731093359.2229323,1731093359.2282338,2.849102020263672e-05,0.010777711868286133,2.3365020751953125e-05
27,1731093360.431092,1731093360.4365606,1731093360.4366236,1731093360.44195,7.104873657226562e-05,0.01085805892944336,4.792213439941406e-05
28,1731093366.4219756,1731093366.4272408,1731093366.427304,1731093366.4328141,-0.00012242794036865234,0.010838508605957031,7.486343383789062e-05
29,1731093367.142689,1731093367.1481054,1731093367.148168,1731093367.1534295,7.748603820800781e-05,0.010740518569946289,2.6226043701171875e-06
30,1731093367.6554108,1731093367.6607413,1731093367.6608033,1731093367.6662068,-3.647804260253906e-05,0.010796070098876953,3.3855438232421875e-05
31,1731093368.45396,1731093368.4593592,1731093368.4594214,1731093368.4647372,4.172325134277344e-05,0.01077723503112793,8.106231689453125e-06
32,1731093374.2641249,1731093374.2694,1731093374.2694614,1731093374.274843,-5.328655242919922e-05,0.010718107223510742,4.458427429199219e-05
33,1731093380.7582366,1731093380.7635806,1731093380.763643,1731093380.7689235,3.170967102050781e-05,0.010686874389648438,1.3589859008789062e-05
34,1731093381.8917618,1731093381.897082,1731093381.8971448,1731093381.9024916,-1.3232231140136719e-05,0.010729789733886719,2.6226043701171875e-05
