round,t1,t2,t3,t4,offset,rtt,diff
1,1731093319.7555532,1731093319.5169168,1731093319.5169587,1731093319.7663236,-0.24400067329406738,0.010770320892333984,0.00017571449279785156
2,1731093325.46161,1731093325.467033,1731093325.4670954,1731093325.4723659,7.617473602294922e-05,0.010755777359008789,2.6941299438476562e-05
3,1731093326.8231306,1731093326.8286998,1731093326.8287623,1731093326.834101,0.00011527538299560547,0.010970354080200195,8.845329284667969e-05
4,1731093327.5139256,1731093327.5192082,1731093327.5192707,1731093327.524723,-8.487701416015625e-05,0.010797500610351562,4.0531158447265625e-06
5,1731093328.3850577,1731093328.3903718,1731093328.3904338,1731093328.3957734,-1.2755393981933594e-05,0.010715723037719727,8.821487426757812e-06
6,1731093329.2492085,1731093329.2545345,1731093329.254597,1731093329.259996,-3.647804260253906e-05,0.010787487030029297,4.506111145019531e-05
7,1731093330.1043816,1731093330.1097467,1731093330.1098087,1731093330.1152422,-3.421306610107422e-05,0.010860681533813477,7.963180541992188e-05
8,1731093330.9387743,1731093330.9442234,1731093330.9442859,1731093330.9495633,8.58306884765625e-05,0.010788917541503906,6.198883056640625e-06
9,1731093332.0880127,1731093332.0933373,1731093332.0933993,1731093332.0987613,-1.8715858459472656e-05,0.010748624801635742,1.239776611328125e-05
10,1731093333.4111462,1731093333.416487,1731093333.4165494,1731093333.4219642,-3.695487976074219e-05,0.010818004608154297,4.9114227294921875e-05
11,1731093334.622387,1731093334.6277623,1731093334.6278248,1731093334.6332052,-2.5033950805664062e-06,0.010818243026733398,5.245208740234375e-05
12,1731093335.856704,1731093335.862063,1731093335.8621247,1731093335.8674295,2.7060508728027344e-05,0.01072549819946289,2.5272369384765625e-05
13,1731093336.4876168,1731093336.4929748,1731093336.493037,1731093336.498367,1.3947486877441406e-05,0.010750293731689453,1.0728836059570312e-05
14,1731093337.3178535,1731093337.3232856,1731093337.323347,1731093337.3286912,4.398822784423828e-05,0.010837793350219727,3.337860107421875e-05
15,1731093338.6333756,1731093338.6386595,1731093338.6387217,1731093338.6441221,-5.829334259033203e-05,0.010746479034423828,2.47955322265625e-05
16,1731093345.057814,1731093345.0631826,1731093345.063244,1731093345.0685904,1.1205673217773438e-05,0.010776519775390625,1.3589859008789062e-05
17,1731093345.941963,1731093345.947314,1731093345.9473758,1731093345.9527192,3.814697265625e-06,0.010756254196166992,1.0013580322265625e-05
18,1731093346.5092995,1731093346.5146372,1731093346.5146997,1731093346.5201707,-6.663799285888672e-05,0.010871171951293945,7.700920104980469e-05
19,1731093347.2044282,1731093347.2097964,1731093347.20992,1731093347.215217,3.552436828613281e-05,0.010788917541503906,4.100799560546875e-05
20,1731093347.967771,1731093347.9731252,1731093347.9731877,1731093347.9784718,3.504753112792969e-05,0.010700702667236328,6.198883056640625e-06
21,1731093349.1972353,1731093349.2025712,1731093349.2026334,1731093349.2079852,-7.987022399902344e-06,0.01074981689453125,1.4066696166992188e-05
22,1731093350.313723,1731093350.3190725,1731093350.3191347,1731093350.3244534,1.537799835205078e-05,0.010730266571044922,1.430511474609375e-06
23,1731093350.921993,1731093350.9273098,1731093350.927372,1731093350.9327598,-3.552436828613281e-05,0.010766744613647461,3.4332275390625e-05
24,1731093352.2806304,1731093352.2859921,1731093352.2860544,1731093352.2913647,2.574920654296875e-05,0.010734319686889648,8.58306884765625e-06
25,1731093358.3026578,1731093358.3079767,1731093358.3080394,1731093358.313354,2.1457672119140625e-06,0.010696172714233398,5.7220458984375e-06
26,1731093359.5292277,1731093359.5346038,1731093359.5346665,1731093359.5400467,-2.0265579223632812e-06,0.010818958282470703,8.344650268554688e-06
27,1731093360.2043996,1731093360.2097318,1731093360.2097948,1731093360.2151794,-2.6226043701171875e-05,0.010779857635498047,3.4809112548828125e-05
28,1731093361.0737004,1731093361.0790758,1731093361.0791378,1731093361.084416,4.863739013671875e-05,0.010715484619140625,1.430511474609375e-05
29,1731093361.807937,1731093361.8132443,1731093361.8133068,1731093361.818705,-4.5418739318847656e-05,0.01076817512512207,3.123283386230469e-05
30,1731093363.016633,1731093363.021986,1731093363.0220485,1731093363.027401,2.384185791015625e-07,0.010767936706542969,3.0994415283203125e-05
31,1731093364.325766,1731093364.3311155,1731093364.3311784,1731093364.3365211,3.337860107421875e-06,0.010755062103271484,2.7894973754882812e-05
32,1731093364.9584615,1731093364.9638197,1731093364.9639394,1731093364.96928,8.821487426757812e-06,0.0108184814453125,1.9073486328125e-05
33,1731093366.0133674,1731093366.0187087,1731093366.0187714,1731093366.0241048,3.933906555175781e-06,0.010737419128417969,1.5020370483398438e-05
34,1731093372.285387,1731093372.2906847,1731093372.2907462,1731093372.296056,-6.079673767089844e-06,0.01066899299621582,2.002716064453125e-05
35,1731093373.4563136,1731093373.4616518,1731093373.4617155,1731093373.4671123,-2.9325485229492188e-05,0.01079869270324707,5.030632019042969e-05
36,1731093374.6675408,1731093374.672963,1731093374.6730244,1731093374.678328,5.924701690673828e-05,0.010787248611450195,8.821487426757812e-06
37,1731093380.6062865,1731093380.611615,1731093380.6116776,1731093380.6170428,-1.8358230590820312e-05,0.010756254196166992,9.5367431640625e-06
38,1731093381.7900531,1731093381.7953923,1731093381.7954545,1731093381.8007994,-2.86102294921875e-06,0.010746240615844727,1.1920928955078125e-05
39,1731093382.4225802,1731093382.427943,1731093382.428005,1731093382.4333165,2.562999725341797e-05,0.010736227035522461,1.3113021850585938e-05
